,EVENT,BOUT,FIGHTER_RED,FIGHTER_BLUE,KD_RED,KD_BLUE,SIG_STR_LAND_RED,SIG_STR_ATT_RED,SIG_STR_LAND_BLUE,SIG_STR_ATT_BLUE,TOTAL_STR_LAND_RED,TOTAL_STR_ATT_RED,TOTAL_STR_LAND_BLUE,TOTAL_STR_ATT_BLUE,TD_RED,TD_ATT_RED,TD_BLUE,TD_ATT_BLUE,SUB_ATT_RED,SUB_ATT_BLUE,REV_RED,REV_BLUE,CTRL_TIME_RED(sec),CTRL_TIME-BLUE(sec),HEAD_LAND_RED,HEAD_ATT_RED,HEAD_LAND_BLUE,HEAD_ATT_BLUE,BODY_LAND_RED,BODY_ATT_RED,BODY_LAND_BLUE,BODY_ATT_BLUE,LEG_LAND_RED,LEG_ATT_RED,LEG_LAND_BLUE,LEG_ATT_BLUE,STD_STR_LAND_RED,STD_STR_ATT_RED,STD_STR_LAND_BLUE,STD_STR_ATT_BLUE,CLINCH_STR_LAND_RED,CLINCH_STR_ATT_RED,CLINCH_STR_LAND_BLUE,CLINCH_STR_ATT_BLUE,GRD_STR_LAND_RED,GRD_STR_ATT_RED,GRD_STR_LAND_BLUE,GRD_STR_ATT_BLUE,WIN_BY,Fight_Time_(sec),LAST_ROUND,FORMAT,WINNER,WeightClass,TitleFight
0,UFC 277: Pena vs Nunes 2,Orion Cosce vs Blood Diamond,Orion Cosce,Blood Diamond,0,0,25,52,63,98,77,107,90,126,3,8,0,1,0,0,0,0,566,68,14,38,28,55,10,13,26,29,1,1,9,14,8,27,34,60,9,14,29,37,8,11,0,1,Decision - Unanimous ,900,3,3,Orion Cosce,Welterweight Bout,No
1,UFC 277: Pena vs Nunes 2,Nicolae Negumereanu vs Ihor Potieria,Nicolae Negumereanu,Ihor Potieria,0,0,51,95,38,70,72,122,52,85,2,3,0,0,0,0,0,0,241,0,44,84,26,58,7,11,3,3,0,0,9,9,23,57,31,62,25,32,6,7,3,6,1,1,KO/TKO ,513,2,3,Nicolae Negumereanu,Light Heavyweight Bout,No
2,UFC 277: Pena vs Nunes 2,Joselyne Edwards vs Ji Yeon Kim,Joselyne Edwards,Ji Yeon Kim,0,0,101,234,78,193,116,250,87,203,1,3,0,0,0,0,0,0,121,19,31,106,33,132,52,97,22,35,18,31,23,26,91,221,70,182,8,10,7,10,2,3,1,1,Decision - Split ,900,3,3,Joselyne Edwards,Women's Bantamweight Bout,No
3,UFC 277: Pena vs Nunes 2,Michael Morales vs Adam Fugitt,Michael Morales,Adam Fugitt,2,0,83,151,64,113,89,157,70,120,0,1,1,8,0,0,0,0,12,111,74,140,32,74,7,9,20,26,2,2,12,13,64,127,58,99,12,17,6,10,7,7,0,4,KO/TKO ,669,3,3,Michael Morales,Welterweight Bout,No
4,UFC 277: Pena vs Nunes 2,Drakkar Klose vs Rafa Garcia,Drakkar Klose,Rafa Garcia,0,0,61,115,34,57,111,175,83,111,2,10,3,11,0,0,0,0,125,174,24,75,23,45,27,29,8,8,10,11,3,4,32,83,23,44,24,25,11,13,5,7,0,0,Decision - Unanimous ,900,3,3,Drakkar Klose,Lightweight Bout,No
5,UFC 277: Pena vs Nunes 2,Hamdy Abdelwahab vs DonTale Mayes,DonTale Mayes,Hamdy Abdelwahab,0,1,47,116,58,110,54,123,106,164,0,0,3,4,0,0,0,0,0,396,28,90,51,102,12,17,5,6,7,9,2,2,45,111,30,74,2,5,2,3,0,0,26,33,Decision - Split ,900,3,3,Hamdy Abdelwahab,Heavyweight Bout,No
6,UFC 277: Pena vs Nunes 2,Drew Dober vs Rafael Alves,Drew Dober,Rafael Alves,1,0,62,151,37,68,62,151,46,80,0,0,1,3,0,0,0,0,4,141,38,121,24,55,20,24,8,8,4,6,5,5,60,149,31,60,0,0,1,1,2,2,5,7,KO/TKO ,690,3,3,Drew Dober,Lightweight Bout,No
7,UFC 277: Pena vs Nunes 2,Alex Morono vs Matthew Semelsberger,Alex Morono,Matthew Semelsberger,0,1,106,194,74,229,119,209,86,241,0,4,1,1,0,0,0,0,24,158,92,179,32,170,14,15,21,33,0,0,21,26,98,184,60,209,7,9,9,12,1,1,5,8,Decision - Unanimous ,900,3,3,Alex Morono,Welterweight Bout,No
8,UFC 277: Pena vs Nunes 2,Magomed Ankalaev vs Anthony Smith,Magomed Ankalaev,Anthony Smith,0,0,46,79,18,36,64,102,21,39,0,0,0,1,0,0,0,0,146,51,31,60,6,21,6,9,5,8,9,10,7,7,23,46,17,35,1,1,0,0,22,32,1,1,KO/TKO ,489,2,3,Magomed Ankalaev,Light Heavyweight Bout,No
9,UFC 277: Pena vs Nunes 2,Alexandre Pantoja vs Alex Perez,Alexandre Pantoja,Alex Perez,0,0,8,12,10,14,8,12,10,14,1,1,0,1,1,0,0,0,66,0,7,11,9,13,1,1,0,0,0,0,1,1,7,11,10,13,1,1,0,1,0,0,0,0,Submission ,91,1,3,Alexandre Pantoja,Flyweight Bout,No
